gbifid	kingdom	family	scientificname	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	eventdate	day	month	year
1580490818	Plantae	Caryophyllaceae	Silene latifolia Poir.	44.271667	15.127778		2017-07-04T22:51Z	4	7	2017
1580490817	Animalia	Acrididae	Oedaleus decorus (Germar, 1825)	44.211614	15.163346	15	2017-07-03T20:51Z	3	7	2017
1580490809	Animalia	Sparidae	Diplodus vulgaris (Geoffroy Saint-Hilaire, 1817)	44.228639	15.163663	4	2017-07-01T23:54Z	1	7	2017
1580490807	Animalia	Pentatomidae	Eurydema ornata (Linnaeus, 1758) Linnaeus, 1758	44.281667	15.124722		2017-07-04T22:14Z	4	7	2017
1580490789	Animalia	Curculionidae	Otiorhynchus sensitivus (Scopoli, 1763)	44.236111	15.173889		2017-07-02T21:21Z	2	7	2017
1580489231	Animalia	Atherinidae	Atherina hepsetus Linnaeus, 1758	44.228595	15.163605	43	2017-07-01T23:46Z	1	7	2017
1580489128	Animalia	Noctuidae	Ophiusa tirhaca Cramer, 1780	43.550512	16.387385	6	2017-07-04T02:00Z	4	7	2017
1580489125	Animalia	Geometridae	Gymnoscelis rufifasciata Haworth, 1809	43.550512	16.387385	6	2017-07-03T02:00Z	3	7	2017
1580487379	Plantae	Passifloraceae	Passiflora caerulea L.	44.956993	14.414639		2017-06-19T19:04Z	19	6	2017
1580461419	Animalia	Zygaenidae	Zygaena filipendulae Linnaeus, 1758	45.094612	14.18886	250	2017-05-26T02:00Z	26	5	2017
1580461318	Animalia	Zygaenidae	Zygaena filipendulae Linnaeus, 1758	45.094612	14.18886	250	2017-05-23T02:00Z	23	5	2017
1580461152	Animalia	Zygaenidae	Zygaena lonicerae Scheven, 1777	43.284321	17.09173	250	2017-06-06T02:00Z	6	6	2017
1580461031	Animalia	Zygaenidae	Zygaena filipendulae Linnaeus, 1758	43.242828	17.087532	250	2017-06-09T02:00Z	9	6	2017
1580461019	Animalia	Zygaenidae	Zygaena filipendulae Linnaeus, 1758	45.078732	14.1364	250	2017-05-25T02:00Z	25	5	2017
1580460908	Plantae	Zosteraceae	Zostera marina L.	43.201672	17.126312	250	2017-06-14T02:00Z	14	6	2017
1580460883	Plantae	Zosteraceae	Zostera noltii Hornem.	43.222797	17.000879	250	2017-06-13T02:00Z	13	6	2017
1580460588	Plantae	Rhamnaceae	Ziziphus jujuba Miller	45.066006	14.140863	250	2017-05-17T02:00Z	17	5	2017
1580460306	Animalia	Colubridae	Zamenis situla (Linnaeus, 1758)	44.514317	14.917942	250	2017-05-29T02:00Z	29	5	2017
1580460304	Animalia	Colubridae	Zamenis longissimus (Laurenti, 1768)	45.066006	14.140863	250	2017-05-19T02:00Z	19	5	2017
1580460242	Plantae	Asparagaceae	Yucca gloriosa L.	44.87558	13.841143	250	2017-05-15T02:00Z	15	5	2017
1580460239	Plantae	Asparagaceae	Yucca gloriosa L.	45.089458	14.120672	250	2017-05-17T02:00Z	17	5	2017
1580460230	Plantae	Asparagaceae	Yucca gloriosa L.	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
1580459465	Animalia	Apidae	Xylocopa violacea (Linnaeus, 1758)	45.078732	14.1364	250	2017-05-25T02:00Z	25	5	2017
1580459196	Animalia	Apidae	Xylocopa violacea (Linnaeus, 1758)	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
1580458272	Plantae	Asteraceae	Xanthium strumarium L.	45.078732	14.1364	250	2017-05-25T02:00Z	25	5	2017
1580455114	Plantae	Fabaceae	Vicia grandiflora Scop.	45.078732	14.1364	250	2017-05-25T02:00Z	25	5	2017
1580454937	Plantae	Fabaceae	Vicia L.	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
1580454928	Plantae	Apocynaceae	Vinca difformis Pourr.	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
1580454364	Plantae	Lamiaceae	Vitex agnus-castus L.	45.066006	14.140863	250	2017-05-19T02:00Z	19	5	2017
1580454349	Plantae	Apocynaceae	Vincetoxicum hirundinaria Medik.	45.066006	14.140863	250	2017-05-19T02:00Z	19	5	2017
1580450661	Plantae	Caprifoliaceae	Valeriana tuberosa L.	43.284321	17.09173	250	2017-04-18T02:00Z	18	4	2017
1580448503	Plantae	Caprifoliaceae	Valeriana officinalis L.	43.284321	17.09173	250	2017-06-10T02:00Z	10	6	2017
1580446625	Animalia	Nymphalidae	Vanessa cardui (Linnaeus, 1758) Linnaeus, 1758	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
1580444374	Animalia	Nymphalidae	Vanessa atalanta Linnaeus, 1758	43.242828	17.087532	250	2017-06-04T02:00Z	4	6	2017
1580444126	Animalia	Nymphalidae	Vanessa cardui (Linnaeus, 1758) Linnaeus, 1758	43.284321	17.09173	250	2017-06-06T02:00Z	6	6	2017
1580442541	Plantae	Asteraceae	Urospermum picroides (L.) Scop.	45.080399	14.144146	250	2017-05-18T02:00Z	18	5	2017
1580442529	Plantae	Asteraceae	Urospermum picroides (L.) Scop.	45.080399	14.144146	250	2017-05-22T02:00Z	22	5	2017
1580442441	Animalia	Upupidae	Upupa epops Linnaeus, 1758	43.242828	17.087532	250	2017-06-14T02:00Z	14	6	2017
1580442412	Animalia	Upupidae	Upupa epops Linnaeus, 1758	43.242828	17.087532	250	2017-06-07T02:00Z	7	6	2017
1580442363	Animalia	Upupidae	Upupa epops Linnaeus, 1758	43.242828	17.087532	250	2017-06-06T02:00Z	6	6	2017
1580442344	Animalia	Upupidae	Upupa epops Linnaeus, 1758	43.242828	17.087532	250	2017-06-05T02:00Z	5	6	2017
1580442330	Animalia	Upupidae	Upupa Linnaeus, 1758	44.361046	15.151219	250	2017-05-30T02:00Z	30	5	2017
1580442302	Animalia	Upupidae	Upupa epops Linnaeus, 1758	44.514317	14.917942	250	2017-05-29T02:00Z	29	5	2017
1580442207	Animalia	Upupidae	Upupa epops Linnaeus, 1758	43.258057	17.063749	250	2017-04-13T02:00Z	13	4	2017
1580442172	Animalia	Upupidae	Upupa epops Linnaeus, 1758	43.242828	17.087532	250	2017-06-12T02:00Z	12	6	2017
1580441571	Animalia	Noctuidae	Tyta luctuosa Schiffermüller, 1776	45.078732	14.1364	250	2017-05-24T02:00Z	24	5	2017
1580440580	Animalia	Turdidae	Turdus merula Linnaeus, 1758	45.460732	14.830427	250	2017-06-10T02:00Z	10	6	2017
